Wall time,Step,Value
1489333432.5391862,0,0.009421618655323982
1489333529.830403,1,0.007606200408190489
1489333627.2380652,2,0.007217918988317251
1489333724.616577,3,0.007010722998529673
1489333822.1482735,4,0.006799229420721531
1489333919.72319,5,0.006578844506293535
1489334016.9924104,6,0.006422203034162521
1489334114.2310405,7,0.006275548133999109
1489334211.4535096,8,0.0060406820848584175
1489334308.8906715,9,0.005807602312415838
1489334406.3427978,10,0.0055848644115030766
1489334503.7869277,11,0.005407970864325762
1489334601.127822,12,0.005212629679590464
1489334698.893149,13,0.005030255299061537
1489334796.1943653,14,0.004894269164651632
1489334893.6200223,15,0.004692865069955587
1489334991.0459645,16,0.0045243860222399235
1489335088.2296004,17,0.004229472950100899
1489335185.5693357,18,0.004118336830288172
1489335283.0428581,19,0.004113953560590744
